vs,gene_symbol,ensembl_id,entrez_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
c_a,SDC1,ENSG00000115884,6382.0,29.2834449875022,-5.89221628777185,1.35689397412337,9.95575255346198e-07,9.15479257401962e-05
c_a,UCHL1,ENSG00000154277,7345.0,10.5735740266478,-6.90605028173798,2.72823088327898,1.20128964518246e-05,0.000716197445604
c_a,ADRA2A,ENSG00000150594,150.0,14.2058395985193,-6.3989198645711,2.55266963086188,1.66699486128332e-05,0.0009455390690105
a_h,IFI27,ENSG00000165949,3429.0,1260.24124405077,8.687700702673,0.45424614521168,1.15204052321651e-82,1.23012883520323e-79
a_h,CA1,ENSG00000133742,759.0,206.438325175188,6.56134172220961,0.55366575966759,9.277794399586029e-34,9.49388969414305e-32
a_h,GYPB,ENSG00000250361,2994.0,9.8337001956798,6.49999825208676,0.719157288208485,4.322300332817141e-23,2.05719716809411e-21
c_h,C1D,ENSG00000197223,10438.0,197.594051272895,-2.53386371434599,0.32194618413361,2.64735911991719e-16,4.85710977731206e-12
c_h,GSTM3,ENSG00000134202,2947.0,83.5016058259987,-3.44461571201748,0.688710825618014,1.12776487398302e-08,4.13822042859329e-05
c_h,SPIN3,ENSG00000204271,169981.0,152.695517419731,1.36747078650443,0.290830653210009,2.56213657898834e-07,0.0005875939976837
